CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34
-0.3231,-0.4963,0.3484,-0.8183,-0.3026,-0.1628,-0.0355,-0.9274,-0.3034,-3.7466,-0.0837,-0.1461,-0.1913,-0.2304,-0.2426,-0.0706,0.0821,0.1591,-0.0333,-0.0830,-0.3222,-0.2353,-0.3414,-0.3993,-0.2165,-0.2863,-0.2982,-0.4477,#DIV/0!,-1.2953,1.1322,-0.6491,0.0410,0.2146
-0.3728,-0.7953,-0.5031,-1.1924,-0.9254,-0.0101,-1.3545,-0.9894,-0.4912,-3.9847,-0.1723,-0.1106,-0.1791,-0.2348,-0.1744,-0.0561,0.0922,0.2061,-0.0077,-0.0696,-0.3028,-0.2197,-0.4472,-0.3954,-0.2329,-0.2582,-0.3114,-0.5663,#DIV/0!,0.2737,1.4678,0.3296,0.0577,0.2759
-0.6356,-0.4721,-0.8282,-0.7777,-0.8543,0.3352,-0.8074,-1.5425,-0.2856,-3.8713,-0.1199,-0.0608,-0.1213,-0.2094,-0.0808,-0.0410,0.0847,0.1986,-0.0075,-0.0556,-0.2638,-0.1717,-0.1475,-0.3121,-0.1687,-0.2277,-0.1933,-1.3551,#DIV/0!,0.1530,1.8261,0.3485,-1.6441,0.1127
-0.6241,0.1819,-0.4122,0.1010,0.0947,0.5614,0.3650,-0.7221,-0.2239,-3.8960,-0.0781,-0.0191,-0.0655,-0.1684,0.0011,-0.0207,0.1030,0.1897,0.0260,-0.0245,-0.2312,-0.1241,0.0121,-0.2490,-0.0977,-0.1550,-0.0794,-0.8330,#DIV/0!,0.3929,0.5423,-1.2230,0.6251,0.0869
0.0024,-0.6171,-0.4031,-0.6738,-1.1776,0.7854,-0.0908,-0.7816,-0.2082,-3.6657,-0.0747,0.0120,-0.0260,-0.1524,0.0343,0.0043,0.1119,0.2021,0.0681,-0.0109,-0.2108,-0.0955,0.0696,-0.2211,-0.0801,-0.2145,-0.0637,-0.3538,#DIV/0!,0.5867,2.5634,-0.0437,1.3161,0.2333
0.0622,-0.5522,-0.4831,-0.5403,-1.0593,-0.4792,-1.1196,-1.0395,-0.4216,-3.5395,-0.0708,0.0286,0.0156,-0.1141,0.0346,0.0391,0.1196,0.2018,0.0804,0.0100,-0.2189,-0.0664,0.0744,-0.2049,-0.0817,-0.1845,-0.0627,-0.3954,#DIV/0!,0.8006,2.1195,-0.0330,1.8227,0.2839
-0.4779,-0.5324,-0.5144,-1.0080,-1.5128,-1.0246,-0.5135,-1.1227,-0.4048,-3.9636,-0.0003,0.0068,0.0130,-0.1037,0.0105,0.0504,0.1165,0.1923,0.0723,0.0154,-0.2359,-0.0621,0.0979,-0.2053,-0.0726,-0.1651,0.0177,-0.1340,#DIV/0!,1.1488,1.2253,-0.8999,1.6977,0.0355
0.1196,-1.1588,-0.4388,-1.7977,-2.3374,-0.9800,-1.1593,-1.4253,-0.5424,-3.9404,-0.0501,-0.0261,-0.0140,-0.1129,-0.0250,0.0407,0.0987,0.1493,0.0320,0.0161,-0.2591,-0.0688,0.1180,-0.2586,-0.0933,-0.1759,-0.1092,0.6795,#DIV/0!,0.7509,0.9775,-0.8409,0.6156,-0.0448
0.3074,-1.0817,-0.4335,-1.2157,-1.7787,-1.0470,-0.9732,-1.7237,-0.4171,-3.9530,-0.0540,-0.0821,-0.0569,-0.1100,-0.1007,0.0228,0.0852,0.0965,-0.0072,-0.0047,-0.2955,-0.0884,0.1080,-0.2948,-0.0877,-0.1493,-0.2005,0.5335,#DIV/0!,-0.8293,0.1725,-0.2411,-1.2328,-0.0917
0.1035,-1.3671,-0.4622,-1.8093,-2.1043,-1.3560,-0.8790,-2.3755,-0.3404,-3.9439,-0.0491,-0.1228,-0.0970,-0.1417,-0.1373,-0.0023,0.0753,0.0720,-0.0350,-0.0165,-0.3119,-0.1039,0.0794,-0.2981,-0.0703,-0.1734,-0.1316,0.2734,#DIV/0!,-3.4073,-0.6668,-2.0372,-6.1878,-0.2611
0.4037,-1.0281,-0.3659,-1.7121,-2.1099,-0.9553,-0.9854,-1.9875,-0.4329,-3.9513,-0.1265,-0.1219,-0.1031,-0.1282,-0.1502,0.0109,0.0804,0.0723,-0.0472,-0.0366,-0.3091,-0.1348,0.0117,-0.3289,-0.0986,-0.1930,-0.2111,0.2163,#DIV/0!,0.6401,1.4113,-0.0844,-1.2224,-0.0278
0.5101,-0.4286,-0.3479,-1.0234,-1.5048,-1.5250,-1.3485,-1.6112,-0.7562,-3.9096,-0.1447,-0.1149,-0.1047,-0.1586,-0.1956,-0.0189,0.0482,0.0546,-0.0707,-0.0535,-0.3137,-0.1571,-0.0063,-0.3395,-0.0986,-0.2179,-0.1744,-0.0025,#DIV/0!,-0.0379,2.2688,-1.0372,0.2236,-0.0829
0.5612,-1.2331,-0.6301,-1.6640,-1.3799,-1.4181,-1.1803,-1.0038,-0.3739,-3.9280,-0.0397,-0.1286,-0.1277,-0.1811,-0.2355,-0.0560,0.0379,0.0279,-0.0766,-0.0374,-0.3246,-0.1447,0.0579,-0.3514,-0.0965,-0.1962,-0.2248,-0.1342,#DIV/0!,-1.0594,0.0447,-2.9034,-1.5020,-0.2076
0.1867,-1.4160,-0.2095,-2.0665,-1.1550,-0.7676,-0.5114,-3.8619,-0.1001,-3.7921,-0.1000,-0.0901,-0.0798,-0.1628,-0.2204,-0.0448,0.0525,0.0325,-0.0539,-0.0315,-0.3091,-0.1389,0.1113,-0.3003,-0.0786,-0.1547,-0.2116,-0.4997,#DIV/0!,0.5882,1.9701,0.0855,0.1425,-0.0507
-0.4982,-1.5379,-0.4487,-1.6517,-1.8697,-0.6235,-0.1267,-2.2754,-0.1912,-1.9487,-0.0297,-0.0274,0.0070,-0.0959,-0.1836,0.0088,0.0813,0.0565,-0.0170,0.0068,-0.2686,-0.0896,0.1913,-0.2433,-0.0438,-0.1137,-0.1275,-0.7183,#DIV/0!,0.6025,1.6955,0.8901,0.4430,0.0156
0.0413,-1.8236,-0.8438,-1.5773,-2.1282,-0.8379,-0.6365,-3.5946,-0.3803,-0.1843,0.0190,0.0250,0.0741,-0.0615,-0.1164,0.0260,0.0891,0.0718,0.0023,0.0235,-0.2315,-0.0445,0.2609,-0.1683,-0.0100,-0.1057,-0.1022,-0.2313,#DIV/0!,0.5881,1.1753,-1.2575,-1.0110,0.1147
-0.1980,-1.1992,-0.3082,-1.4992,-0.9406,-0.6337,-1.1177,-1.5953,-0.3688,2.2952,0.0711,0.0506,0.1062,-0.0535,-0.0841,0.0250,0.0921,0.0692,0.0188,0.0353,-0.2055,-0.0407,0.2768,-0.1588,-0.0176,-0.1229,-0.0743,-1.0622,#DIV/0!,0.5254,1.6508,-0.8639,-0.6308,0.0536
-0.2974,-1.5305,-0.4575,-2.1081,-1.6063,0.0012,-0.3024,-0.7866,-0.2365,1.5706,0.0642,0.0701,0.1318,-0.0320,-0.0611,0.0387,0.0897,0.0614,0.0183,0.0232,-0.1939,-0.0542,0.2938,-0.1628,-0.0169,-0.0733,-0.0789,-0.2874,#DIV/0!,-1.3081,1.5208,-1.2045,-1.7565,0.0153
-0.2002,-0.9987,-0.2040,-1.3040,-1.5722,-0.8087,-1.0184,-1.3992,-0.4481,1.4374,0.0401,0.0568,0.1137,-0.0489,-0.0412,0.0445,0.0890,0.0867,0.0526,0.0150,-0.1732,-0.0539,0.2951,-0.1532,-0.0244,-0.1085,-0.1070,0.1253,#DIV/0!,-0.7825,1.1868,-0.0257,-0.6354,-0.1387
-0.6461,0.0040,-0.0274,-0.2234,0.0625,-0.1885,-0.8045,-0.7574,-0.1352,0.9386,0.0796,0.0556,0.1370,-0.0478,-0.0533,0.0463,0.0851,0.0886,0.0550,0.0206,-0.1935,-0.0624,0.2701,-0.1849,-0.0259,-0.1285,-0.0465,-0.9572,#DIV/0!,1.1619,1.3012,0.2794,0.7922,-0.1965
-0.9034,-0.6313,-0.5295,-0.7548,-0.5770,-0.1871,-0.8285,-2.0083,-0.1805,0.8449,0.0236,0.0072,0.0633,-0.0651,-0.1230,0.0293,0.0822,0.0693,0.0425,0.0162,-0.2270,-0.0772,0.2754,-0.2064,-0.0107,-0.1059,-0.0105,-0.5551,#DIV/0!,-0.6146,0.7171,-0.5736,-1.0549,-0.1844
0.1274,-0.5880,0.0296,-0.3695,-0.3456,-1.1660,-1.1842,-1.5131,-0.3138,2.3015,-0.0248,0.0062,0.0504,-0.0842,-0.1505,0.0153,0.0780,0.0659,0.0520,0.0275,-0.2383,-0.0705,0.2730,-0.2130,-0.0172,-0.1217,-0.0277,-0.0215,#DIV/0!,-0.9437,1.6535,-0.5154,0.4450,0.0479
0.9374,-0.5885,0.4839,-0.4727,-0.4764,-1.1024,-1.0938,-2.8218,-0.3273,-0.4601,0.0484,0.0250,0.0932,-0.0837,-0.1601,0.0223,0.0842,0.0802,0.0775,0.0632,-0.2273,-0.0504,0.2929,-0.2084,-0.0074,-0.1043,0.0129,-0.1129,#DIV/0!,0.7489,1.4828,-0.6967,0.2284,-0.0654
-0.5797,-0.6334,-0.0649,-0.8708,-1.0969,-0.5230,-0.6528,-1.9496,-0.5309,0.3335,0.0858,0.0360,0.1096,-0.0580,-0.1599,0.0296,0.0898,0.0859,0.0794,0.0534,-0.2263,-0.0616,0.3048,-0.1923,0.0005,-0.1306,-0.0214,-0.2488,#DIV/0!,0.5155,1.8758,-1.1526,0.2280,-0.1134
-0.3020,-0.2183,-0.3540,0.0226,-0.4505,0.5557,-0.3481,-1.6362,-0.7590,0.8729,-0.0274,0.0424,0.0997,-0.0299,-0.1635,0.0268,0.0963,0.0840,0.1040,0.0529,-0.2085,-0.0426,0.3473,-0.1807,0.0059,-0.1273,-0.1701,-0.2961,#DIV/0!,0.1918,1.9098,-0.1858,-0.6979,-0.0528
0.2691,-0.2437,0.2846,-0.6330,-0.1801,-1.3017,-2.1904,-0.8626,-0.6779,-0.1753,0.0271,0.0571,0.0948,-0.0113,-0.1197,0.0459,0.1115,0.0932,0.1232,0.0707,-0.1777,0.0042,0.3818,-0.1485,0.0170,-0.0944,-0.1798,-0.2054,#DIV/0!,-0.1101,1.4619,-1.0173,-1.4747,-0.1450
0.1861,-0.6914,0.1839,0.0900,-0.2682,-1.6040,-1.7356,-1.6425,-0.4733,2.3471,0.0455,0.0965,0.1490,0.0230,-0.0596,0.0730,0.1186,0.1039,0.1337,0.0871,-0.1362,0.0493,0.4093,-0.0843,0.0347,-0.0998,-0.0210,-0.4487,#DIV/0!,0.6807,1.0640,0.0902,-0.1437,-0.0557
0.3183,-0.2999,0.2841,-0.3016,-0.1343,0.4837,-1.0913,-2.6748,-0.3228,1.4257,0.1499,0.1033,0.1811,0.0319,-0.0323,0.0741,0.1197,0.1214,0.1590,0.0858,-0.1137,0.0577,0.4339,-0.0624,0.0400,-0.0997,0.0038,0.2148,#DIV/0!,0.1285,1.9689,-0.0879,-0.5656,-0.0247
-0.8701,-0.5097,-0.7274,-1.1745,-0.6690,1.6984,0.1116,-1.8667,-0.1284,-0.4736,0.1599,0.1051,0.2087,0.0397,0.0023,0.0999,0.1389,0.1518,0.1855,0.1060,-0.0892,0.0638,0.4420,-0.0431,0.0392,-0.0562,0.0377,-0.8239,#DIV/0!,-1.3059,2.9500,0.2292,0.4719,0.0037
-1.4980,-1.0575,-1.7341,-1.3264,-1.4549,0.1452,0.2315,-1.2449,-0.2201,0.1489,0.1126,0.1098,0.2037,0.0294,0.0511,0.1057,0.1369,0.1698,0.2044,0.1122,-0.0701,0.0761,0.4584,-0.0436,0.0354,-0.0839,0.0425,-0.6258,#DIV/0!,0.1074,1.1352,-0.4165,-2.9962,0.0070
-1.2399,-0.3303,-1.9064,0.0041,-0.2458,-0.4886,-0.4202,-1.7207,-0.3966,0.5676,0.1353,0.0921,0.1677,0.0023,0.0458,0.1037,0.1343,0.1638,0.1948,0.0794,-0.0857,0.0378,0.4214,-0.0477,0.0388,-0.0820,0.0266,0.5612,#DIV/0!,0.4760,1.9883,-1.2256,-0.8097,0.0447
-1.2485,-0.5096,-2.0443,-0.5838,-0.6555,-0.8708,-0.7019,-2.8897,-0.3449,1.2845,0.0523,0.0555,0.1303,-0.0247,0.0133,0.0759,0.1100,0.1438,0.1673,0.0629,-0.1036,0.0021,0.3712,-0.0715,0.0132,-0.0659,-0.0320,0.3739,#DIV/0!,-0.0373,1.3999,-0.1872,0.5154,0.1511
-0.5457,-1.0037,-0.7511,-1.3036,-1.7256,-0.9193,-1.2107,-2.3583,-0.5730,1.4090,0.0247,0.0455,0.1308,-0.0494,-0.0239,0.0342,0.0839,0.1236,0.1370,0.0599,-0.1106,-0.0147,0.3251,-0.0952,-0.0106,-0.0519,-0.0978,0.3492,#DIV/0!,0.3192,1.0676,-0.8743,0.2897,-0.0173
-0.5812,-1.2241,-1.0030,-1.2848,-0.8548,-1.7723,-2.2923,-0.2293,-0.5938,-0.3872,0.0888,0.0686,0.1437,-0.0338,-0.0119,0.0467,0.0942,0.1372,0.1460,0.0705,-0.0868,-0.0004,0.3263,-0.0424,0.0159,-0.0935,-0.0462,-0.0132,#DIV/0!,0.3913,1.8608,-0.9906,0.9057,-0.0596
-0.3172,-0.8641,-1.2011,0.2223,-0.1315,1.5843,0.0387,-1.0715,-0.1795,0.2277,0.1252,0.0891,0.1698,-0.0162,-0.0189,0.0545,0.1046,0.1476,0.1578,0.0650,-0.0671,-0.0015,0.3104,0.0046,0.0241,-0.0678,0.0061,0.1515,#DIV/0!,-0.0691,1.8254,0.3508,0.2241,0.0606
-0.5669,-0.3469,-0.7512,-0.1061,-0.4619,0.8989,0.7038,-0.4899,0.1309,-1.3290,0.1732,0.0770,0.1523,-0.0373,-0.0269,0.0321,0.0865,0.1418,0.1474,0.0643,-0.0524,0.0007,0.3094,0.0156,0.0295,-0.0563,0.0534,0.3276,#DIV/0!,0.4551,1.3925,-0.0005,0.9888,-0.1099
-0.1007,-0.9191,-0.0819,-1.1317,-0.9074,0.1259,-0.6885,-0.3388,-0.1549,-1.1161,0.1731,0.0677,0.1273,-0.0335,-0.0253,0.0326,0.0815,0.1200,0.1242,0.0615,-0.0730,-0.0059,0.2822,-0.0271,0.0157,-0.0844,-0.0957,0.5575,#DIV/0!,0.2477,0.6610,-1.1059,-0.7820,-0.0799
0.1125,-0.1528,-0.3037,-0.2552,0.1280,1.4595,0.9341,-1.2475,-0.2495,0.2260,0.0511,0.1085,0.1695,-0.0248,0.0241,0.0495,0.0869,0.1080,0.1210,0.0640,-0.0716,0.0061,0.2483,-0.0497,-0.0067,-0.0418,-0.1494,0.1567,#DIV/0!,0.0191,1.8075,0.3615,-0.9362,0.0278
-0.2981,0.5629,-0.5634,0.7183,0.3255,0.5706,0.3474,-1.6020,-0.4751,-0.0761,0.1806,0.1395,0.1933,-0.0049,0.0690,0.0631,0.0932,0.1281,0.1369,0.0731,-0.0416,0.0281,0.2544,-0.0246,0.0085,-0.0696,0.0282,0.0855,#DIV/0!,0.0889,1.7028,0.0685,0.1709,-0.0016
0.5710,0.1337,0.0597,0.3176,0.1410,0.8622,0.1079,-3.6795,0.0310,-0.0018,0.1180,0.1398,0.2064,0.0060,0.0936,0.0792,0.0952,0.1385,0.1337,0.0733,-0.0316,0.0268,0.2609,-0.0124,0.0233,-0.0635,0.0943,0.1260,#DIV/0!,0.6254,0.9693,-0.5340,-1.3410,0.0613
1.2067,0.0787,0.1863,0.2274,0.3098,1.2134,0.5268,-1.7821,0.3141,0.1873,0.0961,0.1396,0.2088,0.0183,0.1439,0.1035,0.1077,0.1532,0.1560,0.0831,-0.0246,0.0376,0.2482,-0.0215,0.0196,-0.0696,0.0339,0.4273,#DIV/0!,-0.8009,1.4847,-0.5022,-0.2233,-0.0037
0.3668,-0.1379,-0.1961,-0.1926,-0.2587,-0.8773,-1.2660,-2.1040,-0.1653,0.3507,0.1898,0.1433,0.2001,0.0113,0.1581,0.0861,0.0878,0.1472,0.1336,0.0814,-0.0175,0.0528,0.2366,-0.0230,0.0321,-0.0254,0.0753,0.3140,#DIV/0!,-3.4795,1.0365,-1.4637,-1.7150,-0.1190
0.2647,-0.2972,-0.3305,-0.3297,-0.3678,-0.0165,-0.1940,-2.2458,-0.1752,0.5534,0.1598,0.1693,0.2320,0.0114,0.1898,0.0739,0.0769,0.1275,0.1124,0.0595,-0.0182,0.0455,0.1792,-0.0415,0.0194,-0.0557,0.0116,0.1388,#DIV/0!,0.5820,1.8514,0.6146,0.6516,0.0685
0.9657,-0.6427,-0.7396,-0.6471,-0.9045,0.0021,0.5113,-1.9995,-0.0988,0.2164,0.0578,0.1400,0.2131,-0.0034,0.1780,0.0582,0.0590,0.0927,0.0574,0.0325,-0.0491,0.0189,0.1221,-0.0498,0.0069,-0.0291,-0.0070,0.2039,#DIV/0!,0.5703,0.6906,0.1769,0.7009,0.0347
0.8857,-0.6213,-0.5243,-0.7234,-1.0971,0.1711,-0.0261,-2.6779,-0.2657,0.1594,0.0514,0.1203,0.1921,0.0036,0.1586,0.0459,0.0416,0.0665,0.0237,0.0113,-0.0568,-0.0222,0.0596,-0.0681,-0.0050,-0.0615,0.0310,0.6345,#DIV/0!,-1.3957,0.1747,-0.9754,-0.2007,-0.0645
0.2130,-0.0491,0.1158,0.0485,0.0922,-0.5990,-1.2845,-2.4140,-0.3893,-2.5751,0.0384,0.1094,0.1819,-0.0173,0.1896,0.0301,0.0208,0.0628,-0.0001,-0.0049,-0.0527,-0.0463,-0.0275,-0.0849,-0.0285,-0.0810,-0.0558,0.3040,#DIV/0!,-0.4129,1.3401,-0.6656,0.6357,-0.1344
0.0510,-0.4001,-0.3866,-0.4844,-0.1964,-0.9749,-0.6588,-1.0107,-0.2586,-1.4962,0.0660,0.0855,0.1668,-0.0290,0.1701,0.0260,0.0113,0.0528,-0.0216,-0.0176,-0.0627,-0.0714,-0.0367,-0.0902,-0.0291,-0.0771,-0.0218,0.0318,#DIV/0!,0.5659,3.0018,-0.0859,1.0386,0.0303
-0.6029,0.3449,-1.1236,0.4483,0.3617,0.5753,0.0842,-1.9471,-0.1377,1.2679,0.0153,0.0497,0.1070,-0.0693,0.1447,-0.0061,-0.0061,0.0436,-0.0325,-0.0338,-0.0847,-0.1033,-0.2381,-0.1373,-0.0686,-0.0729,-0.0592,-0.0466,#DIV/0!,0.4165,1.7791,0.5785,0.7537,0.1090
-0.1077,-0.0246,-0.1895,0.4547,-0.1548,-0.4997,0.0253,-0.5829,-0.1561,-0.7639,0.0676,0.0561,0.1159,-0.0726,0.0974,-0.0076,-0.0059,0.0499,-0.0165,-0.0255,-0.0855,-0.1369,-0.3840,-0.1732,-0.1218,-0.0585,-0.1626,0.0189,#DIV/0!,0.1827,0.3881,0.3890,0.6559,-0.0262
0.1493,-0.0743,-0.6065,0.0188,-0.3124,-0.9575,-0.9791,-0.4372,-0.2581,-0.3690,0.1786,0.1025,0.1808,-0.0084,0.1131,0.0459,0.0341,0.0581,0.0195,0.0194,-0.0681,-0.0632,0.0978,-0.0734,-0.0328,-0.0195,-0.0612,0.5030,#DIV/0!,0.3585,0.8277,-0.6542,0.7356,-0.2854
0.3411,-0.2963,-0.6593,-0.3295,-0.1643,0.2328,-0.2936,-2.7510,-0.1922,-0.0033,0.0989,0.1188,0.2005,0.0159,0.1157,0.0540,0.0413,0.0722,0.0512,0.0299,-0.0440,-0.0053,0.1619,-0.0254,0.0097,-0.0154,-0.0389,0.3016,#DIV/0!,0.9023,2.0405,-0.5528,-0.5576,-0.0862
0.6520,0.1012,-0.2938,0.3934,0.2976,-1.0728,-0.7109,-0.9634,-0.3205,-0.6752,0.1951,0.1121,0.1970,0.0312,0.1063,0.0583,0.0464,0.0665,0.0660,0.0513,-0.0452,0.0345,0.1827,-0.0330,0.0259,0.0141,0.0404,-0.0265,#DIV/0!,-0.3772,1.2735,0.1463,-0.4505,-0.0303
0.6894,-0.1361,-0.4613,0.0461,-0.2363,-0.6089,-0.8865,-1.1784,-0.0794,1.1014,0.1463,0.1167,0.1941,0.0367,0.1317,0.0728,0.0502,0.0820,0.0752,0.0644,-0.0296,0.0625,0.1477,-0.0175,0.0303,0.0341,0.0640,0.1451,#DIV/0!,-1.6590,1.8315,-1.7870,0.0219,-0.0780
0.8844,-0.0378,-0.5784,-0.1080,0.1832,-1.3556,-0.7328,-2.0102,-0.0273,0.7890,0.1636,0.1297,0.2236,0.0543,0.1737,0.0806,0.0496,0.0997,0.0674,0.0491,-0.0102,0.0516,0.0430,-0.0327,0.0106,0.0936,0.0433,0.2215,#DIV/0!,-0.4280,0.4700,-2.3693,-0.4642,-0.2594
0.7672,0.0038,-0.6461,-0.3353,0.1261,-1.3416,-0.6191,-1.4950,-0.0363,1.0270,0.1655,0.1142,0.2106,0.0377,0.1780,0.0663,0.0396,0.0987,0.0576,0.0478,-0.0247,0.0311,-0.0159,-0.0409,0.0194,0.0109,0.0649,0.2984,#DIV/0!,0.6563,-0.0971,0.0625,0.6859,-0.0315
0.8324,-0.1198,-0.5909,-0.1915,0.0750,-0.0105,0.2205,-1.4826,0.0380,-0.2693,0.0869,0.1022,0.1668,0.0063,0.1671,0.0425,0.0289,0.0721,0.0364,0.0395,-0.0329,0.0278,-0.0257,-0.0319,0.0203,-0.0208,0.0562,0.2995,#DIV/0!,0.5934,1.4241,0.2133,0.8378,0.1352
0.2250,0.1713,-0.4840,0.6881,0.6829,0.6211,0.6399,-1.4028,0.1931,-0.1715,-0.0165,0.0993,0.1517,-0.0212,0.1763,0.0266,0.0095,0.0607,0.0195,0.0244,-0.0306,-0.0053,-0.0776,-0.0446,0.0003,-0.0162,0.0387,-0.1575,#DIV/0!,0.6056,0.9764,-0.2643,1.1582,-0.0114
0.0397,-0.2130,-0.6731,-0.0984,0.2170,-0.4009,-0.5377,-2.3710,-0.0836,0.8592,0.0270,0.1142,0.1881,-0.0130,0.1902,0.0230,0.0081,0.0519,0.0048,0.0030,-0.0393,-0.0305,-0.1168,-0.0476,-0.0013,-0.0061,0.0180,0.2475,#DIV/0!,0.4394,0.4548,-1.3410,1.2304,-0.1019
0.6233,0.3762,-0.2881,0.2241,0.8065,0.0002,-0.3351,-1.0398,-0.0601,-0.3957,0.0336,0.1087,0.1921,-0.0229,0.1760,0.0019,-0.0123,0.0499,-0.0122,-0.0229,-0.0379,-0.0468,-0.1476,-0.0533,-0.0148,-0.0023,0.0013,0.2011,#DIV/0!,0.4532,0.7355,-0.4131,0.8908,-0.0347
